CIF,Gen,ID,Origin,Composition,Enthalpy,Volume,Density,Fitness,KPOINTS,SYMM,Q_entr,A_order,S_order,N_atoms,Energy/N_atoms
"['data_findsym-STRUC-1', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 2/b 21/c 21/m'"", '_symmetry_Int_Tables_number 57          ', '                                        ', '_cell_length_a       4.54900            ', '_cell_length_b       4.79000            ', '_cell_length_c       9.43300            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    90.00000            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', 'x,-y+1/2,-z                             ', '-x,y+1/2,-z+1/2                         ', '-x,-y,z+1/2                             ', '-x,-y,-z                                ', '-x,y+1/2,z                              ', 'x,-y+1/2,z+1/2                          ', 'x,y,-z+1/2                              ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.2342  -0.0903   0.2500   1.0000', '  Al   Al   0.2499   0.0363  -0.0806   1.0000', '   O    O  -0.3676   0.0258   0.2500   1.0000', '   O    O   0.0826   0.1368   0.3928   1.0000', '   O    O  -0.4423   0.2500   0.0000   1.0000']",1,1,Random,[ 4  8 16],-652.025,205.567,4.597,-652.025,[1 1 1],57,0.092,2.868,2.53,28,-23.286607142857143
"['data_findsym-STRUC-2', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       5.18800            ', '_cell_length_b       5.24300            ', '_cell_length_c       7.57400            ', '_cell_angle_alpha   79.81800            ', '_cell_angle_beta    84.83300            ', '_cell_angle_gamma   89.53300            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.3821  -0.3844   0.3776   1.0000', '  Mg   Mg   0.4566  -0.3312   0.0706   1.0000', '  Mg   Mg  -0.2350   0.0047  -0.2657   1.0000', '  Mg   Mg  -0.0367   0.1708   0.0441   1.0000', '  Al   Al  -0.0381  -0.3291   0.0341   1.0000', '  Al   Al   0.1179   0.3501   0.3948   1.0000', '  Al   Al   0.4672   0.1749   0.0573   1.0000', '  Al   Al   0.2628   0.4963  -0.2533   1.0000', '  Al   Al   0.2637  -0.0043  -0.2475   1.0000', '  Al   Al  -0.3808   0.1057   0.4044   1.0000', '  Al   Al   0.1174  -0.1484   0.3927   1.0000', '  Al   Al  -0.2370  -0.4913  -0.2814   1.0000', '   O    O  -0.2730   0.4390  -0.0064   1.0000', '   O    O   0.4449  -0.0822   0.2671   1.0000', '   O    O  -0.0390   0.1328   0.2894   1.0000', '   O    O   0.2746   0.0673  -0.4752   1.0000', '   O    O   0.2482  -0.4309  -0.4855   1.0000', '   O    O   0.0175  -0.2703  -0.2190   1.0000', '   O    O   0.4903  -0.2693  -0.2406   1.0000', '   O    O  -0.2726  -0.0755   0.0110   1.0000', '   O    O  -0.2316   0.3291  -0.4790   1.0000', '   O    O   0.4903   0.2472  -0.2169   1.0000', '   O    O   0.0222   0.2582  -0.2374   1.0000', '   O    O   0.2210   0.4311   0.0044   1.0000', '   O    O   0.2235  -0.0634  -0.0068   1.0000', '   O    O  -0.0060  -0.3662   0.2577   1.0000', '   O    O   0.4585   0.3598   0.2688   1.0000', '   O    O  -0.2118  -0.1763  -0.4841   1.0000']",1,2,Random,[ 4  8 16],-649.439,201.951,4.679,-649.439,[1 1 1],1,0.203,2.847,2.183,28,-23.19425
"['data_findsym-STRUC-3', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1 21/m 1'"", '_symmetry_Int_Tables_number 11          ', '                                        ', '_cell_length_a       5.65700            ', '_cell_length_b       2.61650            ', '_cell_length_c       6.93500            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    79.75000            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '-x,y+1/2,-z                             ', '-x,-y,-z                                ', 'x,-y+1/2,z                              ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.2497   0.2500  -0.0206   1.0000', '  Al   Al  -0.4164   0.2500  -0.3371   1.0000', '  Al   Al  -0.0926   0.2500   0.3282   1.0000', '   O    O   0.4427   0.2500   0.1711   1.0000', '   O    O   0.3333   0.2500  -0.4490   1.0000', '   O    O  -0.1107   0.2500  -0.3536   1.0000', '   O    O   0.1322   0.2500  -0.1383   1.0000']",1,3,Random,[ 4  8 16],-646.71,202.0,4.678,-646.71,[1 1 1],11,0.174,2.985,2.27,28,-23.096785714285716
"['data_findsym-STRUC-4', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       5.61400            ', '_cell_length_b       6.08800            ', '_cell_length_c       6.03000            ', '_cell_angle_alpha   97.88800            ', '_cell_angle_beta    91.24300            ', '_cell_angle_gamma   89.68700            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.3095   0.3288  -0.3385   1.0000', '  Mg   Mg  -0.1354   0.1783   0.4808   1.0000', '  Mg   Mg  -0.1585   0.4985  -0.1791   1.0000', '  Mg   Mg   0.3147  -0.0062   0.3375   1.0000', '  Al   Al   0.0774  -0.4178   0.4034   1.0000', '  Al   Al  -0.4241  -0.2664  -0.4167   1.0000', '  Al   Al  -0.1635  -0.1680   0.1387   1.0000', '  Al   Al  -0.4281   0.0822  -0.0948   1.0000', '  Al   Al   0.0720  -0.0889  -0.2610   1.0000', '  Al   Al   0.3633  -0.3450   0.0090   1.0000', '  Al   Al  -0.4174   0.3887   0.2652   1.0000', '  Al   Al   0.0848   0.2514   0.0680   1.0000', '   O    O   0.3901   0.2899   0.0116   1.0000', '   O    O  -0.3056  -0.4175   0.1122   1.0000', '   O    O   0.3832  -0.3479   0.3676   1.0000', '   O    O   0.1472   0.2901   0.3618   1.0000', '   O    O   0.1064  -0.0604   0.0377   1.0000', '   O    O  -0.2325  -0.1119  -0.2275   1.0000', '   O    O   0.0916  -0.4433   0.0964   1.0000', '   O    O  -0.2115  -0.4780   0.4753   1.0000', '   O    O  -0.4501   0.2009   0.4625   1.0000', '   O    O  -0.2085   0.1895   0.1207   1.0000', '   O    O   0.3666  -0.0317  -0.3132   1.0000', '   O    O   0.0057   0.2142  -0.2285   1.0000', '   O    O  -0.4876  -0.4381  -0.2312   1.0000', '   O    O  -0.0283  -0.1231   0.4132   1.0000', '   O    O   0.1209  -0.3695  -0.2985   1.0000', '   O    O  -0.4755  -0.0954   0.0976   1.0000']",1,4,Random,[ 4  8 16],-644.866,204.086,4.63,-644.866,[1 1 1],1,0.205,2.671,2.02,28,-23.03092857142857
"['data_findsym-STRUC-5', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       7.17300            ', '_cell_length_b       4.65500            ', '_cell_length_c       7.10900            ', '_cell_angle_alpha  105.99100            ', '_cell_angle_beta   112.58000            ', '_cell_angle_gamma   74.85500            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.0049  -0.4973  -0.4990   1.0000', '  Mg   Mg   0.4647   0.0327  -0.0531   1.0000', '  Mg   Mg  -0.3851   0.1737   0.4383   1.0000', '  Mg   Mg   0.4249   0.4198  -0.3019   1.0000', '  Al   Al  -0.1204  -0.1156   0.2207   1.0000', '  Al   Al  -0.4417  -0.4084   0.2335   1.0000', '  Al   Al   0.2162   0.2231   0.1996   1.0000', '  Al   Al   0.0496   0.1014  -0.2885   1.0000', '  Al   Al   0.2745  -0.1517   0.4666   1.0000', '  Al   Al  -0.2742  -0.2715  -0.2823   1.0000', '  Al   Al   0.1592  -0.3600  -0.0427   1.0000', '  Al   Al  -0.1808   0.2856  -0.0250   1.0000', '   O    O  -0.4835  -0.3622   0.4970   1.0000', '   O    O   0.3657  -0.1593   0.0946   1.0000', '   O    O   0.2324   0.3485  -0.2200   1.0000', '   O    O   0.3851   0.3719   0.1577   1.0000', '   O    O  -0.3664   0.1012  -0.2063   1.0000', '   O    O  -0.2763   0.2556   0.1683   1.0000', '   O    O  -0.1833   0.3553  -0.3519   1.0000', '   O    O   0.3584   0.1349   0.4351   1.0000', '   O    O  -0.3006  -0.3358  -0.0394   1.0000', '   O    O   0.0996  -0.4258   0.3154   1.0000', '   O    O  -0.0444  -0.1836  -0.2563   1.0000', '   O    O   0.2810  -0.1893  -0.2968   1.0000', '   O    O  -0.2546  -0.2104   0.3475   1.0000', '   O    O   0.0381   0.3475  -0.0305   1.0000', '   O    O   0.0312   0.0778   0.4523   1.0000', '   O    O   0.0267  -0.0419   0.1007   1.0000']",1,5,Random,[ 4  8 16],-646.625,207.454,4.555,-646.625,[1 1 1],1,0.216,2.552,1.903,28,-23.09375
"['data_findsym-STRUC-6', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       2.64800            ', '_cell_length_b       7.10800            ', '_cell_length_c      11.06800            ', '_cell_angle_alpha   99.18000            ', '_cell_angle_beta    84.54200            ', '_cell_angle_gamma   97.98400            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.2548   0.0059   0.4976   1.0000', '  Mg   Mg  -0.3849  -0.3112  -0.4135   1.0000', '  Mg   Mg   0.1611  -0.2992   0.0750   1.0000', '  Mg   Mg   0.4929   0.3772  -0.0945   1.0000', '  Al   Al  -0.0538   0.3448  -0.3382   1.0000', '  Al   Al  -0.0657   0.3671   0.1548   1.0000', '  Al   Al   0.2364  -0.3290   0.3486   1.0000', '  Al   Al  -0.4824   0.3400   0.4195   1.0000', '  Al   Al   0.1828   0.0162  -0.2529   1.0000', '  Al   Al  -0.1607   0.0067   0.2399   1.0000', '  Al   Al  -0.4532  -0.3027  -0.1793   1.0000', '  Al   Al   0.4156   0.0535   0.0083   1.0000', '   O    O  -0.1709  -0.0808   0.0710   1.0000', '   O    O  -0.0158   0.2266   0.0080   1.0000', '   O    O  -0.0066  -0.3828  -0.0883   1.0000', '   O    O  -0.4726  -0.0534  -0.1334   1.0000', '   O    O  -0.2911  -0.0013  -0.3666   1.0000', '   O    O   0.0846  -0.2374  -0.2853   1.0000', '   O    O   0.4013   0.1793   0.1853   1.0000', '   O    O   0.2788  -0.1568   0.2498   1.0000', '   O    O  -0.2753  -0.1979   0.4292   1.0000', '   O    O  -0.0645   0.1639   0.3734   1.0000', '   O    O   0.1019  -0.4815   0.4822   1.0000', '   O    O   0.4385   0.2667  -0.4401   1.0000', '   O    O  -0.0390   0.2316  -0.2100   1.0000', '   O    O  -0.4996   0.4890  -0.2784   1.0000', '   O    O  -0.4976  -0.4931   0.1085   1.0000', '   O    O  -0.2658   0.4911   0.2998   1.0000']",1,6,Random,[ 4  8 16],-649.624,203.074,4.653,-649.624,[1 1 1],1,0.208,2.622,1.976,28,-23.200857142857142
"['data_findsym-STRUC-7', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P n a 21'"", '_symmetry_Int_Tables_number 33          ', '                                        ', '_cell_length_a       5.23800            ', '_cell_length_b       8.00400            ', '_cell_length_c       4.95000            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    90.00000            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '-x,-y,z+1/2                             ', '-x+1/2,y+1/2,z+1/2                      ', 'x+1/2,-y+1/2,z                          ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.4284  -0.2980  -0.0047   1.0000', '  Al   Al   0.1508  -0.1190   0.4849   1.0000', '  Al   Al  -0.3383  -0.0343   0.4310   1.0000', '   O    O  -0.3727   0.2675  -0.1183   1.0000', '   O    O  -0.1010   0.4512  -0.4220   1.0000', '   O    O   0.2730   0.3338   0.3037   1.0000', '   O    O   0.3870   0.4955  -0.3172   1.0000']",1,7,Random,[ 4  8 16],-644.75,207.523,4.553,-644.75,[1 1 1],33,0.139,2.448,2.046,28,-23.026785714285715
"['data_findsym-STRUC-8', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       7.20700            ', '_cell_length_b       7.20200            ', '_cell_length_c       4.66700            ', '_cell_angle_alpha  106.81800            ', '_cell_angle_beta    89.86700            ', '_cell_angle_gamma   63.59200            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg  -0.3402   0.0006   0.3278   1.0000', '  Mg   Mg   0.4450   0.0393  -0.2681   1.0000', '  Mg   Mg  -0.3228  -0.3064  -0.0767   1.0000', '  Mg   Mg   0.3041   0.3251   0.3150   1.0000', '  Al   Al   0.2592  -0.0673   0.1875   1.0000', '  Al   Al  -0.0846  -0.0790  -0.2072   1.0000', '  Al   Al  -0.4134   0.3710  -0.1086   1.0000', '  Al   Al  -0.0970  -0.4142   0.3577   1.0000', '  Al   Al   0.0261   0.2285  -0.2069   1.0000', '  Al   Al  -0.1845   0.2650   0.3328   1.0000', '  Al   Al   0.1804  -0.4408  -0.0883   1.0000', '  Al   Al   0.3940  -0.3258  -0.4870   1.0000', '   O    O   0.0964  -0.3555  -0.4166   1.0000', '   O    O   0.2069  -0.0236  -0.4349   1.0000', '   O    O   0.0013   0.3558  -0.4914   1.0000', '   O    O  -0.3256   0.1652   0.0836   1.0000', '   O    O  -0.4695  -0.2266   0.3312   1.0000', '   O    O  -0.1672   0.1247  -0.3988   1.0000', '   O    O  -0.0838  -0.2554   0.1063   1.0000', '   O    O   0.3732  -0.4808   0.1831   1.0000', '   O    O   0.4146   0.0261   0.1034   1.0000', '   O    O  -0.2569  -0.1719  -0.3448   1.0000', '   O    O   0.4326   0.2839  -0.3481   1.0000', '   O    O  -0.2026   0.4239   0.0657   1.0000', '   O    O  -0.3683   0.4893  -0.3953   1.0000', '   O    O   0.0261   0.0570   0.0582   1.0000', '   O    O   0.3169  -0.2841  -0.1179   1.0000', '   O    O   0.1363   0.3675   0.0053   1.0000']",1,8,Random,[ 4  8 16],-643.764,205.216,4.605,-643.764,[1 1 1],1,0.236,2.508,1.76,28,-22.99157142857143
"['data_findsym-STRUC-9', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'P 1'    "", '_symmetry_Int_Tables_number 1           ', '                                        ', '_cell_length_a       6.94500            ', '_cell_length_b       5.29500            ', '_cell_length_c       6.82900            ', '_cell_angle_alpha  109.35200            ', '_cell_angle_beta   115.20800            ', '_cell_angle_gamma   68.05100            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.0479   0.0430  -0.0468   1.0000', '  Mg   Mg  -0.0459  -0.2458   0.0635   1.0000', '  Mg   Mg   0.1089   0.0184   0.4869   1.0000', '  Mg   Mg  -0.2136   0.4446   0.1162   1.0000', '  Al   Al  -0.2783   0.4404  -0.3717   1.0000', '  Al   Al  -0.0923  -0.2712  -0.4746   1.0000', '  Al   Al  -0.4096   0.0738  -0.2545   1.0000', '  Al   Al   0.2099   0.3567  -0.1256   1.0000', '  Al   Al   0.3938  -0.2665  -0.1694   1.0000', '  Al   Al   0.2554   0.3620   0.3884   1.0000', '  Al   Al   0.4242  -0.2397   0.2857   1.0000', '  Al   Al  -0.3893   0.1262   0.2135   1.0000', '   O    O   0.2675  -0.3386   0.0078   1.0000', '   O    O   0.4740   0.0655   0.4719   1.0000', '   O    O   0.3346   0.2942   0.1560   1.0000', '   O    O   0.1216  -0.1270  -0.2910   1.0000', '   O    O   0.1289   0.0556   0.2423   1.0000', '   O    O  -0.4194  -0.1982   0.1131   1.0000', '   O    O   0.3978   0.0594  -0.1844   1.0000', '   O    O  -0.2536   0.1012   0.0454   1.0000', '   O    O  -0.4183   0.4184  -0.2064   1.0000', '   O    O   0.1302   0.4005  -0.3960   1.0000', '   O    O  -0.0461   0.3842  -0.1198   1.0000', '   O    O   0.0088  -0.3719   0.3051   1.0000', '   O    O   0.4064  -0.3625  -0.4968   1.0000', '   O    O  -0.3060  -0.4855   0.3693   1.0000', '   O    O  -0.2044   0.0980   0.4751   1.0000', '   O    O  -0.1977  -0.2196  -0.2679   1.0000']",1,9,Random,[ 4  8 16],-645.092,206.261,4.581,-645.092,[1 1 1],1,0.232,2.524,1.796,28,-23.038999999999998
"['data_findsym-STRUC-10', '# This file was generated by FINDSYM    ', '# Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch', '# Brigham Young University, Provo, Utah, USA', '                                        ', 'data_findsym-output                     ', '                                        ', ""_symmetry_space_group_name_H-M 'C 2/m 2/c 21/a'"", '_symmetry_Int_Tables_number 64          ', '                                        ', '_cell_length_a       3.06100            ', '_cell_length_b       4.58500            ', '_cell_length_c      14.49300            ', '_cell_angle_alpha   90.00000            ', '_cell_angle_beta    90.00000            ', '_cell_angle_gamma   90.00000            ', '                                        ', 'loop_                                   ', '_space_group_symop_operation_xyz        ', 'x,y,z                                   ', 'x,-y,-z                                 ', '-x+1/2,y,-z+1/2                         ', '-x+1/2,-y,z+1/2                         ', '-x,-y,-z                                ', '-x,y,z                                  ', 'x+1/2,-y,z+1/2                          ', 'x+1/2,y,-z+1/2                          ', 'x+1/2,y+1/2,z                           ', 'x+1/2,-y+1/2,-z                         ', '-x,y+1/2,-z+1/2                         ', '-x,-y+1/2,z+1/2                         ', '-x+1/2,-y+1/2,-z                        ', '-x+1/2,y+1/2,z                          ', 'x,-y+1/2,z+1/2                          ', 'x,y+1/2,-z+1/2                          ', '                                        ', 'loop_                                   ', '_atom_site_label                        ', '_atom_site_type_symbol                  ', '_atom_site_fract_x                      ', '_atom_site_fract_y                      ', '_atom_site_fract_z                      ', '_atom_site_occupancy                    ', '  Mg   Mg   0.0000   0.0000   0.0000   1.0000', '  Al   Al   0.0000  -0.1176   0.3374   1.0000', '   O    O   0.0000   0.4790  -0.3074   1.0000', '   O    O   0.0000  -0.1549  -0.4244   1.0000']",1,10,Random,[ 4  8 16],-648.147,203.433,4.645,-648.147,[1 1 1],64,0.084,3.224,2.915,28,-23.148107142857146
